id,category,type,front,back,example,hint
v0175,Closing & Reporting,Vocabulary,reclassification,Umgliederung,We need to post a reclassification before the reporting deadline.,Fachbegriff
c0176,Closing & Reporting,Collocation,post a reclassification,eine Umgliederung buchen,We need to post a reclassification before the reporting deadline.,Typische berufliche Wortverbindung
a0177,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „eine Umgliederung buchen.“,post a reclassification,We need to post a reclassification before the reporting deadline.,Aktive Anwendung
v0178,Closing & Reporting,Vocabulary,reversal entry,Stornobuchung / Umkehrbuchung,We need to post a reversal entry before the reporting deadline.,Fachbegriff
c0179,Closing & Reporting,Collocation,post a reversal entry,eine Umkehrbuchung erfassen,We need to post a reversal entry before the reporting deadline.,Typische berufliche Wortverbindung
a0180,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „eine Umkehrbuchung erfassen.“,post a reversal entry,We need to post a reversal entry before the reporting deadline.,Aktive Anwendung
v0181,Closing & Reporting,Vocabulary,manual journal entry,manuelle Buchung,We need to review a manual journal entry before the reporting deadline.,Fachbegriff
c0182,Closing & Reporting,Collocation,review a manual journal entry,eine manuelle Buchung prüfen,We need to review a manual journal entry before the reporting deadline.,Typische berufliche Wortverbindung
a0183,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „eine manuelle Buchung prüfen.“,review a manual journal entry,We need to review a manual journal entry before the reporting deadline.,Aktive Anwendung
v0184,Closing & Reporting,Vocabulary,closing checklist,Abschlusscheckliste,We need to complete the closing checklist before the reporting deadline.,Fachbegriff
c0185,Closing & Reporting,Collocation,complete the closing checklist,die Abschlusscheckliste abarbeiten,We need to complete the closing checklist before the reporting deadline.,Typische berufliche Wortverbindung
a0186,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Abschlusscheckliste abarbeiten.“,complete the closing checklist,We need to complete the closing checklist before the reporting deadline.,Aktive Anwendung
v0187,Closing & Reporting,Vocabulary,variance explanation,Abweichungserläuterung,We need to provide a variance explanation before the reporting deadline.,Fachbegriff
c0188,Closing & Reporting,Collocation,provide a variance explanation,eine Abweichung erläutern,We need to provide a variance explanation before the reporting deadline.,Typische berufliche Wortverbindung
a0189,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „eine Abweichung erläutern.“,provide a variance explanation,We need to provide a variance explanation before the reporting deadline.,Aktive Anwendung
v0190,Closing & Reporting,Vocabulary,prior-period adjustment,Vorperiodenkorrektur,We need to assess a prior-period adjustment before the reporting deadline.,Fachbegriff
c0191,Closing & Reporting,Collocation,assess a prior-period adjustment,eine Vorperiodenkorrektur beurteilen,We need to assess a prior-period adjustment before the reporting deadline.,Typische berufliche Wortverbindung
a0192,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „eine Vorperiodenkorrektur beurteilen.“,assess a prior-period adjustment,We need to assess a prior-period adjustment before the reporting deadline.,Aktive Anwendung
v0193,Closing & Reporting,Vocabulary,comparative figures,Vergleichszahlen,We need to validate the comparative figures before the reporting deadline.,Fachbegriff
c0194,Closing & Reporting,Collocation,validate the comparative figures,die Vergleichszahlen validieren,We need to validate the comparative figures before the reporting deadline.,Typische berufliche Wortverbindung
a0195,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Vergleichszahlen validieren.“,validate the comparative figures,We need to validate the comparative figures before the reporting deadline.,Aktive Anwendung
v0196,Closing & Reporting,Vocabulary,reporting currency,Berichtswährung,We need to translate into the reporting currency before the reporting deadline.,Fachbegriff
c0197,Closing & Reporting,Collocation,translate into the reporting currency,in die Berichtswährung umrechnen,We need to translate into the reporting currency before the reporting deadline.,Typische berufliche Wortverbindung
a0198,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „in die Berichtswährung umrechnen.“,translate into the reporting currency,We need to translate into the reporting currency before the reporting deadline.,Aktive Anwendung
v0199,Closing & Reporting,Vocabulary,local GAAP,lokale Rechnungslegungsvorschriften,We need to reconcile local GAAP to IFRS before the reporting deadline.,Fachbegriff
c0200,Closing & Reporting,Collocation,reconcile local GAAP to IFRS,Local GAAP auf IFRS überleiten,We need to reconcile local GAAP to IFRS before the reporting deadline.,Typische berufliche Wortverbindung
a0201,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „Local GAAP auf IFRS überleiten.“,reconcile local GAAP to IFRS,We need to reconcile local GAAP to IFRS before the reporting deadline.,Aktive Anwendung
v0202,Closing & Reporting,Vocabulary,group reporting instructions,Konzern-Reporting-Anweisungen,We need to apply the group reporting instructions before the reporting deadline.,Fachbegriff
c0203,Closing & Reporting,Collocation,apply the group reporting instructions,die Konzern-Reporting-Anweisungen anwenden,We need to apply the group reporting instructions before the reporting deadline.,Typische berufliche Wortverbindung
a0204,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Konzern-Reporting-Anweisungen anwenden.“,apply the group reporting instructions,We need to apply the group reporting instructions before the reporting deadline.,Aktive Anwendung
v0205,Closing & Reporting,Vocabulary,disclosure requirement,Angabepflicht,We need to assess the disclosure requirement before the reporting deadline.,Fachbegriff
c0206,Closing & Reporting,Collocation,assess the disclosure requirement,die Angabepflicht beurteilen,We need to assess the disclosure requirement before the reporting deadline.,Typische berufliche Wortverbindung
a0207,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Angabepflicht beurteilen.“,assess the disclosure requirement,We need to assess the disclosure requirement before the reporting deadline.,Aktive Anwendung
v0208,Closing & Reporting,Vocabulary,materiality threshold,Wesentlichkeitsgrenze,We need to apply the materiality threshold before the reporting deadline.,Fachbegriff
c0209,Closing & Reporting,Collocation,apply the materiality threshold,die Wesentlichkeitsgrenze anwenden,We need to apply the materiality threshold before the reporting deadline.,Typische berufliche Wortverbindung
a0210,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Wesentlichkeitsgrenze anwenden.“,apply the materiality threshold,We need to apply the materiality threshold before the reporting deadline.,Aktive Anwendung
v0211,Closing & Reporting,Vocabulary,reporting accuracy,Berichtsgenauigkeit,We need to improve reporting accuracy before the reporting deadline.,Fachbegriff
c0212,Closing & Reporting,Collocation,improve reporting accuracy,die Berichtsgenauigkeit verbessern,We need to improve reporting accuracy before the reporting deadline.,Typische berufliche Wortverbindung
a0213,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „die Berichtsgenauigkeit verbessern.“,improve reporting accuracy,We need to improve reporting accuracy before the reporting deadline.,Aktive Anwendung
v0214,Closing & Reporting,Vocabulary,data validation,Datenvalidierung,We need to perform data validation before the reporting deadline.,Fachbegriff
c0215,Closing & Reporting,Collocation,perform data validation,eine Datenvalidierung durchführen,We need to perform data validation before the reporting deadline.,Typische berufliche Wortverbindung
a0216,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „eine Datenvalidierung durchführen.“,perform data validation,We need to perform data validation before the reporting deadline.,Aktive Anwendung
v0217,Closing & Reporting,Vocabulary,submission status,Abgabestatus,We need to track the submission status before the reporting deadline.,Fachbegriff
c0218,Closing & Reporting,Collocation,track the submission status,den Abgabestatus verfolgen,We need to track the submission status before the reporting deadline.,Typische berufliche Wortverbindung
a0219,Closing & Reporting,Active Recall,Formuliere professionell auf Englisch: „den Abgabestatus verfolgen.“,track the submission status,We need to track the submission status before the reporting deadline.,Aktive Anwendung
